#Duplication rate	Coverage
1.0	1821.0
2.0	1654.0
3.0	1385.0
4.0	1136.0
5.0	975.0
6.0	820.0
7.0	695.0
8.0	688.0
9.0	617.0
10.0	542.0
11.0	510.0
12.0	475.0
13.0	416.0
14.0	441.0
15.0	369.0
16.0	391.0
17.0	351.0
18.0	347.0
19.0	313.0
20.0	343.0
21.0	298.0
22.0	251.0
23.0	267.0
24.0	287.0
25.0	282.0
26.0	243.0
27.0	246.0
28.0	233.0
29.0	255.0
30.0	206.0
31.0	239.0
32.0	208.0
33.0	206.0
34.0	194.0
35.0	213.0
36.0	200.0
37.0	193.0
38.0	193.0
39.0	204.0
40.0	199.0
41.0	195.0
42.0	175.0
43.0	182.0
44.0	172.0
45.0	163.0
46.0	161.0
47.0	149.0
48.0	151.0
49.0	134.0
50.0	7654.0
