#Mapping quality	mapping quality
7.0	20.0
8.0	1.0
9.0	1.0
10.0	1.0
11.0	24.0
12.0	8.0
13.0	20.0
14.0	1.0
16.0	2.0
17.0	21.0
18.0	8.0
19.0	15.0
20.0	8.0
21.0	22.0
22.0	40.0
23.0	60.0
24.0	27.0
25.0	6.0
26.0	41.0
27.0	6.0
28.0	1.0
29.0	1.0
30.0	33.0
31.0	23.0
32.0	17.0
33.0	19.0
34.0	55.0
35.0	57.0
36.0	71.0
37.0	11.0
38.0	7.0
39.0	19.0
40.0	6.0
41.0	5.0
42.0	3.0
43.0	32.0
44.0	53.0
45.0	26.0
46.0	20.0
47.0	22.0
48.0	7.0
49.0	21.0
50.0	30.0
51.0	55.0
52.0	87.0
53.0	54.0
54.0	26.0
55.0	8.0
56.0	27.0
57.0	77.0
58.0	126.0
59.0	902.0
60.0	24310.0
