Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
SRX8237197	202484	0	202484	0.00%	117038	116959	99.93%	576.3006X	481.3576X	59.5462	38.24%	0.0006	2020-03-14	-	-
SRX8174019	323884	0	323884	0.00%	219378	219367	99.99%	1,088.0809X	684.9776X	59.9952	37.78%	0.0007	2020-03-30	-	-
SRX8325144	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8378928	157866	268	157598	0.17%	94336	94236	99.89%	461.2945X	478.8961X	59.3937	38.24%	0.0012	2020-04-02	-	-
SRX8174026	249690	1073	248617	0.43%	110131	104201	94.62%	508.8269X	889.4675X	38.7858	38.37%	0.0011	2020-04-01	-	-
SRX8325143	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8171598	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8264257	725550	0	725550	0.00%	73214	73211	100%	142.323X	155.9749X	59.8405	38.83%	0.0022	17-Mar-2020	-	-
SRX8174021	267878	0	267878	0.00%	170125	170118	100%	837.5919X	480.9124X	59.8421	37.86%	0.0009	2020-03-16	-	-
SRX8264268	343002	1337	341665	0.39%	4437	4266	96.15%	14.8201X	9.6485X	59.989	38.54%	0.0025	29-Mar-2020	-	-
SRX8378926	26754	1024	25730	3.83%	18664	18486	99.05%	89.2433X	226.9454X	25.4134	38.19%	0.0012	2020-04-01	-	-
SRX8174028	165976	16	165960	0.01%	106360	106350	99.99%	523.9139X	391.169X	59.6881	38.2%	0.0009	2020-04-02	-	-
SRX8264261	353652	318	353334	0.09%	10450	10259	98.17%	21.8835X	51.0512X	59.9906	38.83%	0.0022	31-Mar-2020	-	-
SRX8174017	195108	0	195108	0.00%	134607	134605	100%	662.9171X	381.2947X	59.696	37.85%	0.0007	2020-03-30	-	-
SRX8052695	1236020	21753	1214267	1.76%	41613	41433	99.57%	263.085X	256.1758X	59.8283	37.93%	0.0011	2019-01-19	-	-
SRX8155152	1286520	4116	1282404	0.32%	1291296	11074	0.86%	12.7642X	363.1653X	24.2119	2.05%	0.0038	02-Apr-2020	-	4 years
SRX8237199	482356	1254	481102	0.26%	195370	190224	97.37%	922.4964X	1,126.5758X	54.6003	38.4%	0.0011	2020-03-29	-	-
SRX8264266	1116766	0	1116766	0.00%	39201	39198	99.99%	84.7928X	84.595X	59.833	38.94%	0.0026	23-Mar-2020	-	-
SRX8264259	398882	0	398882	0.00%	4151	4136	99.64%	17.1892X	8.7763X	59.9876	38.09%	0.0026	30-Mar-2020	-	-
SRX8155155	1648858	164	1648694	0.01%	985973	958125	97.18%	4,763.8752X	4,748.3703X	36.5404	37.57%	0.0022	02-Apr-2020	-	4 years
SRX8171596	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8174010	317408	0	317408	0.00%	158593	158337	99.84%	778.9659X	684.0401X	59.2347	38.09%	0.001	2020-03-16	-	-
SRX8287868	659436	0	659436	0.00%	407008	406999	100%	2,006.7313X	1,273.5097X	59.9906	37.66%	0.0009	2020-04-15	-	-
SRX8067713	368670	0	368670	0.00%	126151	126151	100%	570.0732X	1,192.2548X	35.0383	38.87%	0.0007	2020-03-24	-	-
SRX8325119	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8173605	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8287857	446184	0	446184	0.00%	237553	237535	99.99%	1,166.1616X	670.7526X	59.9914	37.89%	0.0008	2020-04-10	-	-
SRX8325126	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8173602	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8067714	608782	0	608782	0.00%	188246	188243	100%	857.7145X	1,427.1761X	40.5988	38.7%	0.0012	2020-03-24	-	-
SRX8213956	379060	0	379060	0.00%	193995	193995	100%	647.9004X	290.6999X	59.9946	37.8%	0.0007	2020-04	-	-
SRX8325121	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8213969	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287850	254532	305	254227	0.12%	124471	123363	99.11%	600.4363X	816.7944X	51.5642	38.16%	0.0032	2020-04-09	-	-
SRX8325128	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8287859	771238	0	771238	0.00%	307738	307710	99.99%	1,504.2614X	1,013.1866X	59.9943	38.18%	0.001	2020-04-15	-	-
SRX8213960	404858	0	404858	0.00%	202975	202975	100%	677.6614X	310.5778X	59.9913	37.68%	0.001	2020-04	-	-
SRX8067722	425628	0	425628	0.00%	213377	213377	100%	1,010.9826X	943.8295X	59.3873	38.26%	0.001	2020-03-26	-	-
SRX8378944	8032	298	7734	3.72%	5890	5314	90.22%	25.144X	107.9438X	25.2616	38.01%	0.0009	2020-04-08	-	-
SRX8364385	465416	0	465416	0.00%	293092	293030	99.98%	1,442.8868X	833.2979X	59.9937	37.67%	0.0007	2020-04-07	-	-
SRX8287866	26870	798	26072	2.97%	18917	18813	99.45%	89.8448X	244.4375X	25.7064	37.31%	0.0012	2020-04-15	-	-
SRX8067725	516940	0	516940	0.00%	260067	260067	100%	1,226.6928X	972.9835X	59.6846	38.22%	0.0011	2020-03-27	-	-
SRX8213967	433646	0	433646	0.00%	210371	210371	100%	702.3156X	315.2901X	59.9943	37.84%	0.0007	2020-04	-	-
SRX8364382	88098	528	87570	0.60%	46861	46408	99.03%	225.1029X	495.2011X	36.5372	38.79%	0.0006	2020-04-01	-	-
SRX8287861	1292570	0	1292570	0.00%	720654	720613	99.99%	3,570.6946X	1,808.2288X	59.9382	37.76%	0.0007	2020-04-14	-	-
SRX8213958	421336	0	421336	0.00%	211109	211109	100%	704.5693X	296.3318X	59.9934	37.68%	0.001	2020-04	-	-
SRX8378943	684370	410	683960	0.06%	282059	281894	99.94%	1,365.956X	1,173.0853X	59.6876	38.37%	0.0015	2020-04-07	-	-
SRX8264267	1048718	0	1048718	0.00%	5353	5347	99.89%	23.1361X	31.0216X	59.9848	38.23%	0.0025	03-Apr-2020	-	-
SRX8174011	263666	0	263666	0.00%	164239	164234	100%	808.3002X	455.8686X	59.9942	37.9%	0.0009	2020-03-15	-	-
SRX8264258	1543860	0	1543860	0.00%	28224	28218	99.98%	68.5717X	251.5135X	59.984	38.99%	0.0025	19-Mar-2020	-	-
SRX8171597	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8264260	963046	0	963046	0.00%	5031	5024	99.86%	21.4451X	23.0085X	59.9611	38.25%	0.0028	30-Mar-2020	-	-
SRX8174029	253788	0	253788	0.00%	149304	149265	99.97%	735.1983X	473.88X	59.9918	38.16%	0.0007	2020-04-02	-	-
SRX8378927	209482	0	209482	0.00%	129340	129340	100%	635.685X	435.2134X	59.5957	38.04%	0.0011	2020-04-02	-	-
SRX8052694	1250458	12379	1238079	0.99%	35510	35426	99.76%	234.5803X	214.1181X	59.9744	38.06%	0.001	2019-01-19	-	-
SRX8155153	1159826	1855	1157971	0.16%	1159263	856	0.07%	1.7145X	24.4885X	30.5212	20.43%	0.0017	02-Apr-2020	-	4 years
SRX8237198	163884	0	163884	0.00%	88140	87635	99.43%	431.6797X	534.8172X	56.6903	38.46%	0.0006	2020-03-15	-	-
SRX8174016	193758	290	193468	0.15%	107667	95743	88.93%	467.9049X	666.6816X	57.6474	38.13%	0.0007	2020-03-30	-	-
SRX8171599	-	-	-	-	-	-	-	-	-	-	-	-	2020-03	-	-
SRX8325142	-	-	-	-	-	-	-	-	-	-	-	-	2020-04	-	-
SRX8264269	1171132	0	1171132	0.00%	6970	6946	99.66%	26.9184X	78.8952X	59.9775	38.37%	0.0026	01-Apr-2020	-	-
SRX8174020	197816	19	197797	0.01%	116834	116219	99.47%	572.1267X	467.4251X	59.6953	38.24%	0.0008	2020-03-30	-	-
SRX8174018	178012	907	177105	0.51%	96757	93675	96.81%	459.813X	573.962X	58.1922	38.39%	0.0008	2020-03-31	-	-
