#Mapping quality	mapping quality
1.0	12.0
2.0	79.0
3.0	69.0
4.0	29.0
5.0	14.0
6.0	28.0
7.0	78.0
8.0	104.0
9.0	65.0
10.0	50.0
11.0	37.0
12.0	25.0
13.0	17.0
14.0	14.0
15.0	12.0
16.0	12.0
17.0	17.0
18.0	26.0
19.0	24.0
20.0	25.0
21.0	25.0
22.0	28.0
23.0	30.0
24.0	32.0
25.0	29.0
26.0	33.0
27.0	31.0
28.0	47.0
29.0	43.0
30.0	85.0
31.0	24.0
32.0	16.0
33.0	28.0
34.0	15.0
35.0	11.0
36.0	15.0
37.0	40.0
38.0	36.0
39.0	64.0
40.0	96.0
41.0	52.0
42.0	19.0
43.0	28.0
44.0	34.0
45.0	34.0
46.0	22.0
47.0	6.0
48.0	3.0
49.0	3.0
50.0	2.0
51.0	4.0
52.0	7.0
53.0	20.0
54.0	13.0
55.0	10.0
56.0	23.0
57.0	89.0
58.0	115.0
59.0	5201.0
60.0	22535.0
