#Duplication rate	Coverage
1.0	4081.0
2.0	2450.0
3.0	1739.0
4.0	1261.0
5.0	978.0
6.0	781.0
7.0	675.0
8.0	602.0
9.0	538.0
10.0	510.0
11.0	443.0
12.0	355.0
13.0	311.0
14.0	316.0
15.0	313.0
16.0	246.0
17.0	272.0
18.0	220.0
19.0	198.0
20.0	222.0
21.0	193.0
22.0	178.0
23.0	177.0
24.0	179.0
25.0	166.0
26.0	124.0
27.0	151.0
28.0	108.0
29.0	125.0
30.0	117.0
31.0	106.0
32.0	105.0
33.0	103.0
34.0	91.0
35.0	91.0
36.0	88.0
37.0	78.0
38.0	86.0
39.0	77.0
40.0	73.0
41.0	81.0
42.0	72.0
43.0	64.0
44.0	72.0
45.0	52.0
46.0	43.0
47.0	49.0
48.0	43.0
49.0	46.0
50.0	2139.0
