#Duplication rate	Coverage
1.0	1872.0
2.0	1628.0
3.0	1421.0
4.0	1212.0
5.0	1003.0
6.0	811.0
7.0	694.0
8.0	617.0
9.0	557.0
10.0	555.0
11.0	484.0
12.0	469.0
13.0	464.0
14.0	400.0
15.0	393.0
16.0	368.0
17.0	337.0
18.0	333.0
19.0	322.0
20.0	304.0
21.0	320.0
22.0	311.0
23.0	265.0
24.0	293.0
25.0	264.0
26.0	259.0
27.0	261.0
28.0	224.0
29.0	240.0
30.0	229.0
31.0	224.0
32.0	223.0
33.0	209.0
34.0	205.0
35.0	230.0
36.0	181.0
37.0	171.0
38.0	187.0
39.0	200.0
40.0	177.0
41.0	176.0
42.0	171.0
43.0	155.0
44.0	187.0
45.0	167.0
46.0	162.0
47.0	168.0
48.0	148.0
49.0	152.0
50.0	7533.0
