#Mapping quality	mapping quality
0.0	19.0
2.0	1.0
8.0	20.0
10.0	1.0
12.0	4.0
13.0	23.0
14.0	31.0
15.0	20.0
16.0	1.0
18.0	1.0
19.0	2.0
20.0	44.0
21.0	3.0
22.0	26.0
23.0	24.0
24.0	26.0
25.0	2.0
26.0	20.0
27.0	1.0
28.0	2.0
29.0	2.0
32.0	2.0
33.0	47.0
34.0	1.0
35.0	14.0
36.0	24.0
37.0	53.0
38.0	2.0
39.0	2.0
40.0	7.0
41.0	37.0
42.0	28.0
43.0	7.0
44.0	36.0
45.0	18.0
46.0	4.0
47.0	7.0
48.0	3.0
49.0	5.0
50.0	35.0
51.0	24.0
52.0	11.0
53.0	20.0
54.0	16.0
55.0	43.0
56.0	5.0
57.0	8.0
58.0	11.0
59.0	127.0
60.0	11876.0
