#Mapping quality	mapping quality
1.0	9.0
2.0	139.0
3.0	65.0
4.0	102.0
5.0	242.0
6.0	281.0
7.0	126.0
8.0	139.0
9.0	162.0
10.0	145.0
11.0	76.0
12.0	46.0
13.0	59.0
14.0	66.0
15.0	70.0
16.0	55.0
17.0	118.0
18.0	87.0
19.0	49.0
20.0	17.0
21.0	26.0
22.0	21.0
23.0	26.0
24.0	31.0
25.0	68.0
26.0	66.0
27.0	102.0
28.0	42.0
29.0	47.0
30.0	63.0
31.0	67.0
32.0	54.0
33.0	59.0
34.0	41.0
35.0	130.0
36.0	188.0
37.0	150.0
38.0	52.0
39.0	77.0
40.0	60.0
41.0	51.0
42.0	61.0
43.0	68.0
44.0	85.0
45.0	51.0
46.0	29.0
47.0	42.0
48.0	53.0
49.0	53.0
50.0	75.0
51.0	69.0
52.0	64.0
53.0	89.0
54.0	223.0
55.0	301.0
56.0	178.0
57.0	225.0
58.0	382.0
59.0	11468.0
60.0	12805.0
