#Mapping quality	mapping quality
1.0	9.0
2.0	65.0
3.0	53.0
4.0	36.0
5.0	57.0
6.0	71.0
7.0	64.0
8.0	104.0
9.0	60.0
10.0	39.0
11.0	43.0
12.0	31.0
13.0	49.0
14.0	39.0
15.0	57.0
16.0	54.0
17.0	58.0
18.0	73.0
19.0	33.0
20.0	31.0
21.0	28.0
22.0	22.0
23.0	20.0
24.0	20.0
25.0	44.0
26.0	42.0
27.0	46.0
28.0	22.0
29.0	17.0
30.0	29.0
31.0	14.0
32.0	10.0
33.0	10.0
34.0	15.0
35.0	22.0
36.0	10.0
37.0	24.0
38.0	28.0
39.0	19.0
40.0	6.0
41.0	2.0
42.0	5.0
43.0	1.0
44.0	2.0
45.0	4.0
46.0	3.0
47.0	104.0
48.0	10.0
49.0	42.0
50.0	59.0
51.0	64.0
52.0	27.0
53.0	27.0
54.0	25.0
55.0	222.0
56.0	320.0
57.0	424.0
58.0	739.0
59.0	7359.0
60.0	18986.0
