#Mapping quality	mapping quality
2.0	1.0
3.0	146.0
4.0	429.0
5.0	382.0
6.0	352.0
7.0	208.0
8.0	375.0
9.0	469.0
10.0	275.0
11.0	407.0
12.0	177.0
13.0	112.0
14.0	126.0
15.0	114.0
16.0	117.0
17.0	180.0
18.0	147.0
19.0	202.0
20.0	269.0
21.0	211.0
22.0	224.0
23.0	162.0
24.0	131.0
25.0	172.0
26.0	159.0
27.0	156.0
28.0	170.0
29.0	158.0
30.0	190.0
31.0	231.0
32.0	239.0
33.0	305.0
34.0	284.0
35.0	213.0
36.0	199.0
37.0	180.0
38.0	175.0
39.0	130.0
40.0	263.0
41.0	192.0
42.0	100.0
43.0	118.0
44.0	167.0
45.0	136.0
46.0	186.0
47.0	235.0
48.0	203.0
49.0	210.0
50.0	382.0
51.0	331.0
52.0	135.0
53.0	305.0
54.0	326.0
55.0	367.0
56.0	222.0
57.0	378.0
58.0	909.0
59.0	10676.0
60.0	5856.0
