#Duplication rate	Coverage
1.0	1218.0
2.0	1028.0
3.0	749.0
4.0	636.0
5.0	562.0
6.0	477.0
7.0	471.0
8.0	407.0
9.0	377.0
10.0	361.0
11.0	325.0
12.0	315.0
13.0	283.0
14.0	241.0
15.0	249.0
16.0	225.0
17.0	250.0
18.0	207.0
19.0	198.0
20.0	181.0
21.0	172.0
22.0	198.0
23.0	173.0
24.0	157.0
25.0	161.0
26.0	150.0
27.0	175.0
28.0	156.0
29.0	145.0
30.0	158.0
31.0	148.0
32.0	125.0
33.0	127.0
34.0	138.0
35.0	133.0
36.0	135.0
37.0	133.0
38.0	134.0
39.0	124.0
40.0	120.0
41.0	137.0
42.0	131.0
43.0	113.0
44.0	121.0
45.0	125.0
46.0	100.0
47.0	85.0
48.0	100.0
49.0	92.0
50.0	15759.0
