#Mapping quality	mapping quality
7.0	20.0
9.0	18.0
10.0	4.0
11.0	24.0
12.0	22.0
13.0	29.0
14.0	1.0
15.0	1.0
16.0	21.0
17.0	1.0
18.0	2.0
19.0	3.0
20.0	20.0
21.0	25.0
22.0	69.0
23.0	56.0
24.0	3.0
25.0	24.0
26.0	4.0
27.0	1.0
28.0	22.0
29.0	2.0
30.0	4.0
31.0	1.0
32.0	4.0
34.0	52.0
35.0	30.0
36.0	12.0
37.0	9.0
38.0	2.0
39.0	2.0
41.0	18.0
42.0	61.0
43.0	3.0
44.0	4.0
45.0	31.0
47.0	28.0
48.0	29.0
49.0	1.0
50.0	15.0
51.0	20.0
52.0	5.0
53.0	4.0
54.0	2.0
55.0	4.0
56.0	7.0
57.0	24.0
58.0	25.0
59.0	30.0
60.0	12017.0
