#Duplication rate	Coverage
1.0	5245.0
2.0	3642.0
3.0	2446.0
4.0	1896.0
5.0	1300.0
6.0	998.0
7.0	764.0
8.0	543.0
9.0	454.0
10.0	360.0
11.0	301.0
12.0	252.0
13.0	220.0
14.0	158.0
15.0	176.0
16.0	162.0
17.0	137.0
18.0	126.0
19.0	105.0
20.0	110.0
21.0	98.0
22.0	107.0
23.0	81.0
24.0	80.0
25.0	83.0
26.0	71.0
27.0	54.0
28.0	65.0
29.0	58.0
30.0	56.0
31.0	62.0
32.0	53.0
33.0	56.0
34.0	61.0
35.0	50.0
36.0	39.0
37.0	56.0
38.0	47.0
39.0	49.0
40.0	46.0
41.0	43.0
42.0	35.0
43.0	41.0
44.0	35.0
45.0	28.0
46.0	33.0
47.0	29.0
48.0	51.0
49.0	31.0
50.0	2133.0
