#Duplication rate	Coverage
1.0	4263.0
2.0	2684.0
3.0	1774.0
4.0	1285.0
5.0	1013.0
6.0	799.0
7.0	671.0
8.0	601.0
9.0	501.0
10.0	447.0
11.0	392.0
12.0	384.0
13.0	331.0
14.0	313.0
15.0	275.0
16.0	230.0
17.0	253.0
18.0	239.0
19.0	223.0
20.0	207.0
21.0	217.0
22.0	204.0
23.0	199.0
24.0	191.0
25.0	182.0
26.0	154.0
27.0	151.0
28.0	137.0
29.0	147.0
30.0	135.0
31.0	123.0
32.0	120.0
33.0	126.0
34.0	137.0
35.0	112.0
36.0	108.0
37.0	122.0
38.0	112.0
39.0	105.0
40.0	100.0
41.0	117.0
42.0	99.0
43.0	94.0
44.0	95.0
45.0	73.0
46.0	94.0
47.0	84.0
48.0	68.0
49.0	81.0
50.0	2769.0
