#Duplication rate	Coverage
1.0	1511.0
2.0	1809.0
3.0	1908.0
4.0	1800.0
5.0	1714.0
6.0	1526.0
7.0	1392.0
8.0	1292.0
9.0	1196.0
10.0	1063.0
11.0	983.0
12.0	886.0
13.0	854.0
14.0	745.0
15.0	663.0
16.0	659.0
17.0	613.0
18.0	544.0
19.0	511.0
20.0	461.0
21.0	456.0
22.0	433.0
23.0	391.0
24.0	348.0
25.0	342.0
26.0	286.0
27.0	317.0
28.0	250.0
29.0	224.0
30.0	239.0
31.0	213.0
32.0	202.0
33.0	192.0
34.0	194.0
35.0	175.0
36.0	159.0
37.0	146.0
38.0	136.0
39.0	130.0
40.0	111.0
41.0	110.0
42.0	111.0
43.0	90.0
44.0	93.0
45.0	75.0
46.0	73.0
47.0	75.0
48.0	74.0
49.0	74.0
50.0	1066.0
