#Duplication rate	Coverage
1.0	1241.0
2.0	1140.0
3.0	1049.0
4.0	876.0
5.0	791.0
6.0	696.0
7.0	581.0
8.0	546.0
9.0	504.0
10.0	431.0
11.0	423.0
12.0	382.0
13.0	358.0
14.0	353.0
15.0	312.0
16.0	338.0
17.0	284.0
18.0	251.0
19.0	269.0
20.0	269.0
21.0	282.0
22.0	268.0
23.0	236.0
24.0	229.0
25.0	235.0
26.0	245.0
27.0	217.0
28.0	210.0
29.0	223.0
30.0	203.0
31.0	180.0
32.0	184.0
33.0	170.0
34.0	180.0
35.0	170.0
36.0	177.0
37.0	178.0
38.0	159.0
39.0	171.0
40.0	183.0
41.0	171.0
42.0	171.0
43.0	171.0
44.0	169.0
45.0	144.0
46.0	160.0
47.0	179.0
48.0	127.0
49.0	158.0
50.0	12128.0
