#Duplication rate	Coverage
1.0	4467.0
2.0	2834.0
3.0	2001.0
4.0	1497.0
5.0	1107.0
6.0	918.0
7.0	744.0
8.0	589.0
9.0	497.0
10.0	399.0
11.0	363.0
12.0	307.0
13.0	300.0
14.0	262.0
15.0	231.0
16.0	197.0
17.0	162.0
18.0	188.0
19.0	134.0
20.0	144.0
21.0	138.0
22.0	113.0
23.0	112.0
24.0	95.0
25.0	73.0
26.0	77.0
27.0	95.0
28.0	60.0
29.0	98.0
30.0	76.0
31.0	59.0
32.0	67.0
33.0	53.0
34.0	61.0
35.0	68.0
36.0	57.0
37.0	47.0
38.0	48.0
39.0	47.0
40.0	37.0
41.0	35.0
42.0	52.0
43.0	43.0
44.0	43.0
45.0	42.0
46.0	40.0
47.0	45.0
48.0	46.0
49.0	39.0
50.0	3704.0
