#Mapping quality	mapping quality
1.0	36.0
2.0	224.0
3.0	253.0
4.0	272.0
5.0	207.0
6.0	232.0
7.0	190.0
8.0	311.0
9.0	168.0
10.0	96.0
11.0	153.0
12.0	70.0
13.0	117.0
14.0	136.0
15.0	138.0
16.0	75.0
17.0	75.0
18.0	84.0
19.0	74.0
20.0	59.0
21.0	39.0
22.0	44.0
23.0	52.0
24.0	46.0
25.0	49.0
26.0	39.0
27.0	50.0
28.0	100.0
29.0	54.0
30.0	42.0
31.0	36.0
32.0	45.0
33.0	34.0
34.0	24.0
35.0	28.0
36.0	26.0
37.0	25.0
38.0	28.0
39.0	35.0
40.0	32.0
41.0	50.0
42.0	72.0
43.0	69.0
44.0	135.0
45.0	129.0
46.0	125.0
47.0	85.0
48.0	123.0
49.0	49.0
50.0	21.0
51.0	62.0
52.0	85.0
53.0	106.0
54.0	122.0
55.0	253.0
56.0	321.0
57.0	240.0
58.0	386.0
59.0	5296.0
60.0	18152.0
