#Mapping quality	mapping quality
4.0	108.0
5.0	38.0
6.0	5.0
8.0	4.0
9.0	21.0
10.0	68.0
11.0	45.0
12.0	88.0
13.0	93.0
14.0	89.0
15.0	68.0
16.0	91.0
17.0	89.0
18.0	49.0
19.0	53.0
20.0	73.0
21.0	64.0
22.0	44.0
23.0	36.0
24.0	86.0
25.0	55.0
26.0	96.0
27.0	119.0
28.0	203.0
29.0	156.0
30.0	213.0
31.0	185.0
32.0	179.0
33.0	190.0
34.0	192.0
35.0	176.0
36.0	113.0
37.0	80.0
38.0	179.0
39.0	134.0
40.0	114.0
41.0	185.0
42.0	151.0
43.0	166.0
44.0	245.0
45.0	145.0
46.0	225.0
47.0	346.0
48.0	198.0
49.0	259.0
50.0	257.0
51.0	258.0
52.0	294.0
53.0	256.0
54.0	301.0
55.0	309.0
56.0	514.0
57.0	767.0
58.0	1647.0
59.0	11465.0
60.0	8319.0
