#Duplication rate	Coverage
1.0	6836.0
2.0	4670.0
3.0	2997.0
4.0	1880.0
5.0	1304.0
6.0	800.0
7.0	598.0
8.0	448.0
9.0	350.0
10.0	276.0
11.0	193.0
12.0	123.0
13.0	139.0
14.0	85.0
15.0	80.0
16.0	63.0
17.0	62.0
18.0	59.0
19.0	42.0
20.0	36.0
21.0	30.0
22.0	28.0
23.0	12.0
24.0	20.0
25.0	18.0
26.0	7.0
27.0	9.0
28.0	9.0
29.0	7.0
30.0	5.0
31.0	6.0
32.0	4.0
33.0	3.0
34.0	1.0
35.0	2.0
36.0	4.0
37.0	4.0
38.0	1.0
39.0	0.0
40.0	2.0
41.0	2.0
42.0	1.0
43.0	1.0
44.0	3.0
45.0	1.0
46.0	1.0
47.0	0.0
48.0	2.0
49.0	4.0
50.0	13.0
