#Mapping quality	mapping quality
5.0	2.0
6.0	7.0
7.0	21.0
8.0	21.0
9.0	39.0
10.0	28.0
11.0	37.0
12.0	73.0
13.0	108.0
14.0	68.0
15.0	45.0
16.0	27.0
17.0	27.0
18.0	17.0
19.0	31.0
20.0	65.0
21.0	59.0
22.0	75.0
23.0	144.0
24.0	121.0
25.0	75.0
26.0	105.0
27.0	207.0
28.0	106.0
29.0	61.0
30.0	99.0
31.0	99.0
32.0	166.0
33.0	82.0
34.0	97.0
35.0	157.0
36.0	110.0
37.0	181.0
38.0	119.0
39.0	138.0
40.0	164.0
41.0	151.0
42.0	157.0
43.0	147.0
44.0	174.0
45.0	168.0
46.0	168.0
47.0	168.0
48.0	197.0
49.0	302.0
50.0	212.0
51.0	435.0
52.0	289.0
53.0	418.0
54.0	553.0
55.0	833.0
56.0	964.0
57.0	745.0
58.0	1485.0
59.0	12482.0
60.0	6866.0
