#Mapping quality	mapping quality
0.0	2.0
3.0	1.0
7.0	20.0
8.0	2.0
9.0	1.0
10.0	21.0
12.0	3.0
13.0	40.0
14.0	19.0
15.0	1.0
16.0	20.0
18.0	2.0
19.0	2.0
20.0	2.0
21.0	63.0
22.0	46.0
23.0	4.0
25.0	2.0
27.0	3.0
28.0	1.0
29.0	24.0
30.0	25.0
31.0	19.0
32.0	1.0
34.0	1.0
35.0	5.0
36.0	2.0
37.0	76.0
38.0	1.0
39.0	4.0
40.0	4.0
41.0	4.0
42.0	16.0
43.0	31.0
44.0	24.0
45.0	6.0
46.0	3.0
47.0	4.0
48.0	31.0
49.0	4.0
50.0	19.0
51.0	38.0
52.0	9.0
53.0	6.0
54.0	52.0
55.0	9.0
56.0	49.0
57.0	24.0
58.0	9.0
59.0	201.0
60.0	14907.0
