#Mapping quality	mapping quality
3.0	264.0
4.0	166.0
5.0	229.0
6.0	328.0
7.0	224.0
8.0	321.0
9.0	222.0
10.0	267.0
11.0	172.0
12.0	139.0
13.0	155.0
14.0	164.0
15.0	88.0
16.0	214.0
17.0	173.0
18.0	203.0
19.0	142.0
20.0	161.0
21.0	143.0
22.0	206.0
23.0	358.0
24.0	193.0
25.0	198.0
26.0	191.0
27.0	244.0
28.0	216.0
29.0	181.0
30.0	146.0
31.0	205.0
32.0	182.0
33.0	95.0
34.0	122.0
35.0	109.0
36.0	139.0
37.0	160.0
38.0	166.0
39.0	217.0
40.0	212.0
41.0	308.0
42.0	209.0
43.0	146.0
44.0	328.0
45.0	281.0
46.0	220.0
47.0	335.0
48.0	421.0
49.0	320.0
50.0	379.0
51.0	436.0
52.0	428.0
53.0	475.0
54.0	448.0
55.0	878.0
56.0	661.0
57.0	637.0
58.0	629.0
59.0	10193.0
60.0	4854.0
