Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
SRX8838355	201500	161	201339	0.08%	100820	100773	99.95%	666.5607X	1,131.2354X	54.7352	38.44%	0.0011	-	-	-
SRX8838345	223260	33087	190173	14.82%	95283	91616	96.15%	554.1501X	2,075.3171X	17.1428	38.33%	0.0007	-	-	-
SRX8838322	177754	1919	175835	1.08%	88475	88232	99.73%	524.5799X	978.7021X	48.702	38.48%	0.0013	-	-	-
SRX8838161	178074	1371	176703	0.77%	88478	88420	99.93%	466.0068X	331.9985X	59.9844	37.96%	0.0011	-	-	-
SRX8838290	237744	95	237649	0.04%	119187	119167	99.98%	706.3624X	353.7427X	59.9864	38.28%	0.0011	-	-	-
SRX8838180	127468	41388	86080	32.47%	43864	41647	94.95%	229.0089X	425.4601X	59.5369	38.19%	0.0013	-	-	-
SRX8838291	5572	57	5515	1.04%	2765	2760	99.82%	17.8693X	13.0736X	58.9375	38.15%	0.0011	-	-	-
SRX8838336	219066	44820	174246	20.46%	87393	77500	88.68%	521.88X	789.1105X	56.5209	37.96%	0.0017	-	-	-
SRX8838340	310944	103077	207867	33.15%	104193	91653	87.96%	478.1936X	1,051.7919X	39.8451	38.83%	0.0008	-	-	-
SRX8838325	94812	18611	76201	19.63%	38299	36758	95.98%	191.1176X	390.8404X	38.634	39.09%	0.0016	-	-	-
SRX8838153	171688	8309	163379	4.84%	82137	81207	98.87%	468.8538X	648.5883X	56.2361	38.17%	0.0011	-	-	-
SRX8838318	16108	27	16081	0.17%	8043	7876	97.92%	43.1757X	159.8261X	10.827	39.59%	0.0013	-	-	-
SRX8838299	235972	424	235548	0.18%	117987	117956	99.97%	783.5176X	601.6659X	59.9913	38.08%	0.001	-	-	-
SRX8838311	12940	25	12915	0.20%	6461	6430	99.52%	36.5901X	121.8171X	13.2165	39.27%	0.002	-	-	-
SRX8838173	167628	8666	158962	5.17%	82171	78787	95.88%	394.4252X	530.4642X	59.8446	37.68%	0.0015	-	-	-
SRX8838319	85614	25	85589	0.03%	42878	42859	99.96%	247.1652X	468.4342X	44.6597	38.54%	0.0013	-	-	-
SRX8838347	258584	23324	235260	9.02%	117788	115413	97.98%	698.7037X	1,425.5356X	54.4257	39.73%	0.0014	-	-	-
SRX8838344	307850	369	307481	0.12%	154049	153984	99.96%	1,000.641X	758.288X	59.8429	38.5%	0.0012	-	-	-
SRX8838348	20188	10	20178	0.05%	10111	10109	99.98%	54.1006X	35.7714X	59.6882	38.44%	0.0012	-	-	-
SRX8838334	142258	13642	128616	9.59%	65038	63837	98.15%	353.8238X	606.4282X	49.6102	38.79%	0.0012	-	-	-
SRX8838323	123292	3353	119939	2.72%	60137	59817	99.47%	350.2045X	255.783X	59.9853	37.95%	0.0013	-	-	-
SRX8838169	136554	2034	134520	1.49%	67327	67212	99.83%	410.9458X	365.896X	59.9902	37.98%	0.0012	-	-	-
SRX8838184	131790	5601	126189	4.25%	63172	62662	99.19%	371.5407X	525.7228X	59.6961	38.45%	0.001	-	-	-
SRX8838295	255812	25	255787	0.01%	128254	128251	100%	820.7621X	418.6252X	59.9904	38.1%	0.001	-	-	-
SRX8838349	259772	89127	170645	34.31%	86066	77414	89.95%	403.8397X	2,082.8489X	14.1353	38.76%	0.0019	-	-	-
SRX8838339	212272	177947	34325	83.83%	17183	7158	41.66%	43.0882X	210.018X	32.462	39.03%	0.0007	-	-	-
SRX8838327	137714	137	137577	0.10%	69639	69625	99.98%	405.7927X	718.3161X	52.928	38.69%	0.0011	-	-	-
