#Mapping quality	mapping quality
8.0	1.0
9.0	21.0
10.0	34.0
11.0	36.0
12.0	42.0
13.0	121.0
14.0	27.0
15.0	22.0
16.0	14.0
17.0	11.0
18.0	7.0
19.0	12.0
20.0	59.0
21.0	38.0
22.0	70.0
23.0	105.0
24.0	226.0
25.0	171.0
26.0	143.0
27.0	164.0
28.0	193.0
29.0	127.0
30.0	149.0
31.0	121.0
32.0	159.0
33.0	158.0
34.0	229.0
35.0	146.0
36.0	101.0
37.0	131.0
38.0	271.0
39.0	227.0
40.0	195.0
41.0	131.0
42.0	247.0
43.0	214.0
44.0	256.0
45.0	407.0
46.0	445.0
47.0	459.0
48.0	403.0
49.0	510.0
50.0	544.0
51.0	603.0
52.0	778.0
53.0	853.0
54.0	993.0
55.0	1187.0
56.0	942.0
57.0	1060.0
58.0	2033.0
59.0	11528.0
60.0	2772.0
