#Mapping quality	mapping quality
1.0	74.0
2.0	105.0
3.0	69.0
4.0	214.0
5.0	102.0
6.0	203.0
7.0	152.0
8.0	92.0
9.0	110.0
10.0	63.0
11.0	59.0
12.0	95.0
13.0	33.0
14.0	19.0
15.0	11.0
16.0	4.0
17.0	45.0
18.0	57.0
19.0	91.0
20.0	44.0
21.0	41.0
22.0	58.0
23.0	32.0
24.0	23.0
25.0	13.0
26.0	11.0
27.0	16.0
28.0	22.0
29.0	28.0
30.0	31.0
31.0	32.0
32.0	17.0
33.0	21.0
34.0	33.0
35.0	22.0
36.0	23.0
37.0	25.0
38.0	41.0
39.0	66.0
40.0	65.0
41.0	45.0
42.0	38.0
43.0	55.0
44.0	76.0
45.0	93.0
46.0	74.0
47.0	70.0
48.0	51.0
49.0	50.0
50.0	97.0
51.0	50.0
52.0	49.0
53.0	150.0
54.0	246.0
55.0	333.0
56.0	328.0
57.0	446.0
58.0	652.0
59.0	7761.0
60.0	16891.0
