#Mapping quality	mapping quality
3.0	1.0
7.0	89.0
8.0	36.0
9.0	22.0
10.0	5.0
11.0	2.0
12.0	4.0
13.0	8.0
14.0	15.0
15.0	13.0
16.0	11.0
17.0	24.0
18.0	38.0
19.0	44.0
20.0	39.0
21.0	132.0
22.0	68.0
23.0	34.0
24.0	30.0
25.0	47.0
26.0	35.0
27.0	25.0
28.0	39.0
29.0	19.0
30.0	48.0
31.0	55.0
32.0	43.0
33.0	111.0
34.0	116.0
35.0	74.0
36.0	110.0
37.0	123.0
38.0	173.0
39.0	192.0
40.0	115.0
41.0	133.0
42.0	177.0
43.0	155.0
44.0	157.0
45.0	137.0
46.0	165.0
47.0	158.0
48.0	228.0
49.0	330.0
50.0	311.0
51.0	322.0
52.0	386.0
53.0	317.0
54.0	307.0
55.0	478.0
56.0	479.0
57.0	1001.0
58.0	1760.0
59.0	11668.0
60.0	9283.0
