#Duplication rate	Coverage
1.0	506.0
2.0	588.0
3.0	622.0
4.0	566.0
5.0	528.0
6.0	543.0
7.0	502.0
8.0	461.0
9.0	450.0
10.0	405.0
11.0	393.0
12.0	346.0
13.0	368.0
14.0	325.0
15.0	387.0
16.0	321.0
17.0	314.0
18.0	324.0
19.0	284.0
20.0	239.0
21.0	238.0
22.0	256.0
23.0	267.0
24.0	237.0
25.0	224.0
26.0	236.0
27.0	209.0
28.0	229.0
29.0	189.0
30.0	224.0
31.0	189.0
32.0	199.0
33.0	171.0
34.0	199.0
35.0	193.0
36.0	182.0
37.0	175.0
38.0	185.0
39.0	168.0
40.0	184.0
41.0	166.0
42.0	184.0
43.0	159.0
44.0	150.0
45.0	183.0
46.0	181.0
47.0	147.0
48.0	159.0
49.0	191.0
50.0	15437.0
