#Duplication rate	Coverage
1.0	1099.0
2.0	703.0
3.0	336.0
4.0	293.0
5.0	196.0
6.0	169.0
7.0	127.0
8.0	132.0
9.0	99.0
10.0	100.0
11.0	81.0
12.0	83.0
13.0	67.0
14.0	83.0
15.0	61.0
16.0	66.0
17.0	50.0
18.0	50.0
19.0	65.0
20.0	59.0
21.0	45.0
22.0	53.0
23.0	52.0
24.0	50.0
25.0	28.0
26.0	36.0
27.0	38.0
28.0	35.0
29.0	35.0
30.0	42.0
31.0	36.0
32.0	33.0
33.0	29.0
34.0	31.0
35.0	27.0
36.0	23.0
37.0	37.0
38.0	18.0
39.0	19.0
40.0	25.0
41.0	10.0
42.0	20.0
43.0	23.0
44.0	26.0
45.0	18.0
46.0	28.0
47.0	19.0
48.0	16.0
49.0	22.0
50.0	710.0
