#Duplication rate	Coverage
1.0	1936.0
2.0	1681.0
3.0	1511.0
4.0	1186.0
5.0	1025.0
6.0	918.0
7.0	741.0
8.0	653.0
9.0	604.0
10.0	567.0
11.0	509.0
12.0	481.0
13.0	451.0
14.0	416.0
15.0	403.0
16.0	358.0
17.0	325.0
18.0	319.0
19.0	332.0
20.0	299.0
21.0	293.0
22.0	273.0
23.0	256.0
24.0	290.0
25.0	250.0
26.0	253.0
27.0	234.0
28.0	243.0
29.0	237.0
30.0	230.0
31.0	209.0
32.0	203.0
33.0	216.0
34.0	233.0
35.0	203.0
36.0	202.0
37.0	201.0
38.0	171.0
39.0	165.0
40.0	191.0
41.0	171.0
42.0	172.0
43.0	154.0
44.0	159.0
45.0	156.0
46.0	174.0
47.0	152.0
48.0	156.0
49.0	147.0
50.0	7565.0
