#Duplication rate	Coverage
1.0	752.0
2.0	619.0
3.0	615.0
4.0	555.0
5.0	512.0
6.0	427.0
7.0	424.0
8.0	396.0
9.0	397.0
10.0	328.0
11.0	349.0
12.0	321.0
13.0	288.0
14.0	275.0
15.0	271.0
16.0	266.0
17.0	304.0
18.0	264.0
19.0	262.0
20.0	218.0
21.0	224.0
22.0	224.0
23.0	203.0
24.0	206.0
25.0	179.0
26.0	184.0
27.0	177.0
28.0	177.0
29.0	174.0
30.0	176.0
31.0	140.0
32.0	163.0
33.0	150.0
34.0	144.0
35.0	167.0
36.0	139.0
37.0	167.0
38.0	141.0
39.0	135.0
40.0	127.0
41.0	132.0
42.0	122.0
43.0	120.0
44.0	111.0
45.0	124.0
46.0	114.0
47.0	122.0
48.0	107.0
49.0	113.0
50.0	16252.0
