#Duplication rate	Coverage
1.0	4143.0
2.0	2439.0
3.0	1629.0
4.0	1171.0
5.0	960.0
6.0	784.0
7.0	670.0
8.0	549.0
9.0	503.0
10.0	433.0
11.0	382.0
12.0	338.0
13.0	296.0
14.0	330.0
15.0	252.0
16.0	264.0
17.0	230.0
18.0	208.0
19.0	199.0
20.0	172.0
21.0	169.0
22.0	156.0
23.0	142.0
24.0	137.0
25.0	135.0
26.0	120.0
27.0	119.0
28.0	111.0
29.0	109.0
30.0	91.0
31.0	89.0
32.0	92.0
33.0	85.0
34.0	92.0
35.0	76.0
36.0	76.0
37.0	66.0
38.0	63.0
39.0	66.0
40.0	68.0
41.0	67.0
42.0	63.0
43.0	58.0
44.0	65.0
45.0	50.0
46.0	64.0
47.0	54.0
48.0	59.0
49.0	46.0
50.0	2387.0
