#Mapping quality	mapping quality
6.0	2.0
7.0	102.0
8.0	45.0
9.0	1.0
10.0	7.0
11.0	26.0
13.0	64.0
14.0	45.0
15.0	36.0
16.0	88.0
17.0	105.0
18.0	53.0
19.0	45.0
20.0	89.0
21.0	109.0
22.0	88.0
23.0	89.0
24.0	116.0
25.0	126.0
26.0	243.0
27.0	183.0
28.0	85.0
29.0	72.0
30.0	130.0
31.0	181.0
32.0	155.0
33.0	187.0
34.0	103.0
35.0	193.0
36.0	278.0
37.0	326.0
38.0	294.0
39.0	301.0
40.0	357.0
41.0	238.0
42.0	165.0
43.0	214.0
44.0	242.0
45.0	304.0
46.0	443.0
47.0	600.0
48.0	421.0
49.0	485.0
50.0	547.0
51.0	514.0
52.0	401.0
53.0	611.0
54.0	754.0
55.0	945.0
56.0	1155.0
57.0	1356.0
58.0	2313.0
59.0	10394.0
60.0	3473.0
