#Mapping quality	mapping quality
5.0	25.0
6.0	47.0
7.0	124.0
8.0	58.0
9.0	69.0
10.0	47.0
11.0	52.0
12.0	45.0
13.0	68.0
14.0	100.0
15.0	102.0
16.0	51.0
17.0	104.0
18.0	186.0
19.0	210.0
20.0	145.0
21.0	126.0
22.0	96.0
23.0	150.0
24.0	90.0
25.0	87.0
26.0	92.0
27.0	92.0
28.0	104.0
29.0	104.0
30.0	120.0
31.0	97.0
32.0	55.0
33.0	87.0
34.0	188.0
35.0	114.0
36.0	108.0
37.0	104.0
38.0	104.0
39.0	42.0
40.0	42.0
41.0	45.0
42.0	74.0
43.0	89.0
44.0	158.0
45.0	99.0
46.0	91.0
47.0	155.0
48.0	135.0
49.0	131.0
50.0	138.0
51.0	150.0
52.0	131.0
53.0	195.0
54.0	210.0
55.0	492.0
56.0	415.0
57.0	667.0
58.0	1058.0
59.0	10481.0
60.0	11554.0
