#Mapping quality	mapping quality
2.0	3.0
6.0	1.0
7.0	20.0
10.0	1.0
11.0	3.0
12.0	66.0
13.0	23.0
14.0	6.0
15.0	2.0
17.0	22.0
18.0	5.0
19.0	4.0
20.0	28.0
21.0	20.0
22.0	69.0
23.0	20.0
24.0	21.0
25.0	2.0
26.0	1.0
27.0	21.0
28.0	1.0
30.0	3.0
31.0	20.0
32.0	5.0
33.0	4.0
34.0	21.0
35.0	2.0
36.0	5.0
37.0	95.0
38.0	32.0
39.0	26.0
40.0	89.0
41.0	1.0
42.0	17.0
43.0	32.0
44.0	8.0
45.0	6.0
46.0	62.0
47.0	4.0
48.0	66.0
49.0	22.0
50.0	63.0
51.0	40.0
52.0	43.0
53.0	30.0
54.0	18.0
55.0	2.0
56.0	15.0
57.0	17.0
58.0	10.0
59.0	28.0
60.0	2294.0
