#Mapping quality	mapping quality
2.0	13.0
3.0	40.0
5.0	1.0
6.0	42.0
7.0	25.0
8.0	20.0
9.0	19.0
11.0	20.0
12.0	76.0
13.0	24.0
14.0	20.0
15.0	32.0
16.0	5.0
17.0	24.0
18.0	133.0
19.0	24.0
20.0	4.0
21.0	2.0
23.0	5.0
24.0	73.0
25.0	25.0
27.0	6.0
28.0	56.0
29.0	51.0
30.0	26.0
31.0	3.0
32.0	46.0
33.0	12.0
34.0	25.0
35.0	28.0
36.0	32.0
37.0	25.0
38.0	4.0
39.0	1.0
40.0	78.0
41.0	2.0
42.0	61.0
43.0	31.0
44.0	95.0
45.0	8.0
46.0	89.0
47.0	1.0
48.0	47.0
49.0	12.0
50.0	18.0
51.0	8.0
53.0	64.0
54.0	54.0
55.0	40.0
56.0	41.0
57.0	56.0
58.0	62.0
59.0	34.0
60.0	884.0
