#Mapping quality	mapping quality
2.0	4.0
5.0	5.0
7.0	20.0
8.0	2.0
9.0	2.0
10.0	32.0
12.0	21.0
13.0	6.0
14.0	1.0
15.0	1.0
16.0	20.0
18.0	1.0
19.0	19.0
20.0	1.0
21.0	22.0
22.0	49.0
23.0	2.0
24.0	12.0
26.0	8.0
27.0	12.0
28.0	2.0
29.0	21.0
30.0	1.0
31.0	1.0
32.0	2.0
33.0	13.0
35.0	24.0
36.0	1.0
37.0	28.0
38.0	24.0
39.0	25.0
41.0	22.0
42.0	21.0
43.0	31.0
44.0	68.0
45.0	9.0
46.0	11.0
47.0	3.0
48.0	21.0
49.0	5.0
50.0	19.0
51.0	41.0
52.0	17.0
53.0	18.0
54.0	8.0
55.0	3.0
56.0	6.0
57.0	6.0
58.0	23.0
59.0	184.0
60.0	12396.0
