#Duplication rate	Coverage
1.0	180.0
2.0	241.0
3.0	259.0
4.0	249.0
5.0	291.0
6.0	281.0
7.0	245.0
8.0	251.0
9.0	282.0
10.0	236.0
11.0	245.0
12.0	228.0
13.0	217.0
14.0	222.0
15.0	207.0
16.0	223.0
17.0	235.0
18.0	231.0
19.0	218.0
20.0	212.0
21.0	208.0
22.0	221.0
23.0	220.0
24.0	239.0
25.0	193.0
26.0	237.0
27.0	230.0
28.0	229.0
29.0	196.0
30.0	220.0
31.0	230.0
32.0	193.0
33.0	186.0
34.0	196.0
35.0	203.0
36.0	195.0
37.0	199.0
38.0	166.0
39.0	158.0
40.0	163.0
41.0	167.0
42.0	176.0
43.0	151.0
44.0	176.0
45.0	141.0
46.0	152.0
47.0	174.0
48.0	140.0
49.0	148.0
50.0	19398.0
