#Mapping quality	mapping quality
1.0	8.0
2.0	76.0
3.0	156.0
4.0	138.0
5.0	275.0
6.0	38.0
7.0	155.0
8.0	339.0
9.0	103.0
10.0	132.0
11.0	149.0
12.0	147.0
13.0	93.0
14.0	69.0
15.0	64.0
16.0	140.0
17.0	183.0
18.0	118.0
19.0	177.0
20.0	233.0
21.0	99.0
22.0	128.0
23.0	143.0
24.0	185.0
25.0	254.0
26.0	206.0
27.0	137.0
28.0	173.0
29.0	136.0
30.0	137.0
31.0	194.0
32.0	210.0
33.0	163.0
34.0	231.0
35.0	219.0
36.0	284.0
37.0	221.0
38.0	345.0
39.0	290.0
40.0	328.0
41.0	256.0
42.0	353.0
43.0	352.0
44.0	475.0
45.0	568.0
46.0	593.0
47.0	559.0
48.0	378.0
49.0	348.0
50.0	346.0
51.0	483.0
52.0	496.0
53.0	680.0
54.0	563.0
55.0	658.0
56.0	916.0
57.0	1931.0
58.0	2706.0
59.0	8814.0
60.0	1546.0
