#Duplication rate	Coverage
1.0	3583.0
2.0	1311.0
3.0	636.0
4.0	367.0
5.0	235.0
6.0	179.0
7.0	161.0
8.0	125.0
9.0	111.0
10.0	92.0
11.0	87.0
12.0	81.0
13.0	61.0
14.0	52.0
15.0	45.0
16.0	53.0
17.0	47.0
18.0	39.0
19.0	48.0
20.0	44.0
21.0	34.0
22.0	48.0
23.0	40.0
24.0	35.0
25.0	38.0
26.0	29.0
27.0	14.0
28.0	22.0
29.0	35.0
30.0	25.0
31.0	15.0
32.0	35.0
33.0	25.0
34.0	19.0
35.0	18.0
36.0	9.0
37.0	12.0
38.0	15.0
39.0	19.0
40.0	12.0
41.0	14.0
42.0	8.0
43.0	7.0
44.0	20.0
45.0	12.0
46.0	15.0
47.0	12.0
48.0	16.0
49.0	7.0
50.0	546.0
