#Duplication rate	Coverage
1.0	156.0
2.0	190.0
3.0	212.0
4.0	216.0
5.0	234.0
6.0	236.0
7.0	231.0
8.0	230.0
9.0	247.0
10.0	219.0
11.0	256.0
12.0	226.0
13.0	229.0
14.0	226.0
15.0	198.0
16.0	218.0
17.0	217.0
18.0	239.0
19.0	196.0
20.0	194.0
21.0	209.0
22.0	192.0
23.0	191.0
24.0	198.0
25.0	216.0
26.0	209.0
27.0	187.0
28.0	194.0
29.0	192.0
30.0	172.0
31.0	199.0
32.0	182.0
33.0	168.0
34.0	190.0
35.0	180.0
36.0	175.0
37.0	163.0
38.0	184.0
39.0	191.0
40.0	162.0
41.0	165.0
42.0	155.0
43.0	157.0
44.0	168.0
45.0	164.0
46.0	169.0
47.0	180.0
48.0	142.0
49.0	168.0
50.0	20193.0
