#Duplication rate	Coverage
1.0	26.0
2.0	7.0
3.0	10.0
4.0	33.0
5.0	33.0
6.0	37.0
7.0	37.0
8.0	60.0
9.0	46.0
10.0	62.0
11.0	55.0
12.0	59.0
13.0	73.0
14.0	55.0
15.0	63.0
16.0	79.0
17.0	77.0
18.0	76.0
19.0	78.0
20.0	77.0
21.0	73.0
22.0	76.0
23.0	97.0
24.0	80.0
25.0	84.0
26.0	76.0
27.0	88.0
28.0	102.0
29.0	100.0
30.0	101.0
31.0	97.0
32.0	99.0
33.0	94.0
34.0	101.0
35.0	107.0
36.0	113.0
37.0	105.0
38.0	97.0
39.0	110.0
40.0	120.0
41.0	128.0
42.0	115.0
43.0	130.0
44.0	126.0
45.0	111.0
46.0	104.0
47.0	142.0
48.0	135.0
49.0	103.0
50.0	25748.0
