#Mapping quality	mapping quality
5.0	4.0
6.0	3.0
7.0	31.0
9.0	21.0
10.0	1.0
11.0	1.0
12.0	3.0
13.0	3.0
14.0	3.0
15.0	42.0
16.0	2.0
17.0	20.0
18.0	41.0
19.0	1.0
20.0	3.0
21.0	24.0
22.0	47.0
23.0	11.0
24.0	6.0
25.0	42.0
26.0	4.0
27.0	43.0
28.0	20.0
29.0	21.0
31.0	2.0
32.0	1.0
33.0	4.0
34.0	4.0
35.0	21.0
36.0	38.0
37.0	28.0
38.0	36.0
39.0	10.0
40.0	50.0
41.0	11.0
42.0	18.0
43.0	6.0
44.0	9.0
45.0	2.0
46.0	22.0
47.0	11.0
48.0	36.0
49.0	4.0
50.0	7.0
51.0	33.0
52.0	7.0
53.0	16.0
54.0	13.0
55.0	27.0
56.0	10.0
57.0	4.0
58.0	4.0
59.0	85.0
60.0	6554.0
