#Duplication rate	Coverage
1.0	2908.0
2.0	1528.0
3.0	1002.0
4.0	754.0
5.0	614.0
6.0	504.0
7.0	418.0
8.0	361.0
9.0	349.0
10.0	292.0
11.0	256.0
12.0	214.0
13.0	208.0
14.0	194.0
15.0	175.0
16.0	190.0
17.0	183.0
18.0	162.0
19.0	164.0
20.0	145.0
21.0	153.0
22.0	138.0
23.0	152.0
24.0	144.0
25.0	136.0
26.0	114.0
27.0	147.0
28.0	137.0
29.0	140.0
30.0	139.0
31.0	116.0
32.0	94.0
33.0	92.0
34.0	90.0
35.0	104.0
36.0	98.0
37.0	89.0
38.0	95.0
39.0	87.0
40.0	69.0
41.0	73.0
42.0	77.0
43.0	87.0
44.0	77.0
45.0	84.0
46.0	77.0
47.0	67.0
48.0	54.0
49.0	66.0
50.0	7182.0
