#Duplication rate	Coverage
1.0	6307.0
2.0	2735.0
3.0	1406.0
4.0	852.0
5.0	550.0
6.0	379.0
7.0	331.0
8.0	228.0
9.0	203.0
10.0	176.0
11.0	117.0
12.0	101.0
13.0	106.0
14.0	88.0
15.0	75.0
16.0	68.0
17.0	58.0
18.0	60.0
19.0	45.0
20.0	51.0
21.0	32.0
22.0	31.0
23.0	23.0
24.0	23.0
25.0	25.0
26.0	24.0
27.0	28.0
28.0	23.0
29.0	24.0
30.0	21.0
31.0	14.0
32.0	17.0
33.0	17.0
34.0	16.0
35.0	13.0
36.0	16.0
37.0	12.0
38.0	9.0
39.0	9.0
40.0	13.0
41.0	11.0
42.0	8.0
43.0	8.0
44.0	6.0
45.0	4.0
46.0	6.0
47.0	8.0
48.0	8.0
49.0	8.0
50.0	149.0
