#Mapping quality	mapping quality
1.0	5.0
2.0	48.0
3.0	75.0
4.0	57.0
5.0	3.0
6.0	1.0
7.0	46.0
8.0	32.0
9.0	25.0
10.0	95.0
11.0	20.0
12.0	20.0
13.0	5.0
14.0	7.0
15.0	11.0
16.0	66.0
17.0	55.0
18.0	31.0
19.0	29.0
20.0	32.0
21.0	27.0
22.0	9.0
23.0	12.0
24.0	10.0
25.0	9.0
26.0	8.0
27.0	47.0
28.0	23.0
29.0	27.0
30.0	38.0
31.0	29.0
32.0	7.0
33.0	7.0
34.0	56.0
35.0	36.0
36.0	46.0
37.0	34.0
38.0	39.0
39.0	43.0
40.0	53.0
41.0	33.0
42.0	30.0
43.0	27.0
44.0	40.0
45.0	59.0
46.0	32.0
47.0	28.0
48.0	28.0
49.0	55.0
50.0	58.0
51.0	62.0
52.0	90.0
53.0	52.0
54.0	28.0
55.0	45.0
56.0	171.0
57.0	288.0
58.0	196.0
59.0	6782.0
60.0	20546.0
