#Duplication rate	Coverage
1.0	2347.0
2.0	1766.0
3.0	1477.0
4.0	1232.0
5.0	1129.0
6.0	933.0
7.0	814.0
8.0	705.0
9.0	630.0
10.0	570.0
11.0	486.0
12.0	513.0
13.0	438.0
14.0	401.0
15.0	350.0
16.0	343.0
17.0	337.0
18.0	343.0
19.0	312.0
20.0	269.0
21.0	289.0
22.0	299.0
23.0	286.0
24.0	266.0
25.0	248.0
26.0	237.0
27.0	226.0
28.0	235.0
29.0	198.0
30.0	227.0
31.0	234.0
32.0	222.0
33.0	198.0
34.0	184.0
35.0	197.0
36.0	197.0
37.0	185.0
38.0	178.0
39.0	178.0
40.0	161.0
41.0	181.0
42.0	174.0
43.0	155.0
44.0	159.0
45.0	151.0
46.0	157.0
47.0	130.0
48.0	159.0
49.0	135.0
50.0	6443.0
