#Mapping quality	mapping quality
3.0	10.0
4.0	46.0
5.0	38.0
6.0	46.0
7.0	39.0
8.0	19.0
9.0	12.0
10.0	10.0
11.0	15.0
12.0	13.0
13.0	14.0
14.0	20.0
15.0	23.0
16.0	20.0
17.0	96.0
18.0	30.0
19.0	37.0
20.0	46.0
21.0	46.0
22.0	39.0
23.0	38.0
24.0	51.0
25.0	71.0
26.0	121.0
27.0	54.0
28.0	48.0
29.0	94.0
30.0	100.0
31.0	86.0
32.0	102.0
33.0	66.0
34.0	71.0
35.0	58.0
36.0	102.0
37.0	99.0
38.0	102.0
39.0	97.0
40.0	133.0
41.0	101.0
42.0	138.0
43.0	101.0
44.0	136.0
45.0	87.0
46.0	120.0
47.0	109.0
48.0	99.0
49.0	117.0
50.0	121.0
51.0	132.0
52.0	57.0
53.0	215.0
54.0	151.0
55.0	139.0
56.0	205.0
57.0	305.0
58.0	556.0
59.0	7396.0
60.0	17506.0
