#Duplication rate	Coverage
1.0	3022.0
2.0	2059.0
3.0	1592.0
4.0	1227.0
5.0	1140.0
6.0	979.0
7.0	827.0
8.0	756.0
9.0	621.0
10.0	609.0
11.0	544.0
12.0	475.0
13.0	459.0
14.0	445.0
15.0	393.0
16.0	390.0
17.0	331.0
18.0	322.0
19.0	299.0
20.0	299.0
21.0	267.0
22.0	254.0
23.0	250.0
24.0	206.0
25.0	206.0
26.0	176.0
27.0	198.0
28.0	198.0
29.0	171.0
30.0	176.0
31.0	148.0
32.0	165.0
33.0	150.0
34.0	138.0
35.0	128.0
36.0	154.0
37.0	124.0
38.0	129.0
39.0	156.0
40.0	120.0
41.0	101.0
42.0	113.0
43.0	108.0
44.0	92.0
45.0	101.0
46.0	79.0
47.0	79.0
48.0	88.0
49.0	77.0
50.0	3683.0
