#Mapping quality	mapping quality
3.0	123.0
4.0	365.0
5.0	366.0
6.0	308.0
7.0	137.0
8.0	143.0
9.0	228.0
10.0	215.0
11.0	105.0
12.0	120.0
13.0	92.0
14.0	48.0
15.0	36.0
16.0	39.0
17.0	132.0
18.0	94.0
19.0	117.0
20.0	52.0
21.0	60.0
22.0	66.0
23.0	93.0
24.0	131.0
25.0	87.0
26.0	93.0
27.0	159.0
28.0	107.0
29.0	185.0
30.0	144.0
31.0	92.0
32.0	82.0
33.0	79.0
34.0	109.0
35.0	136.0
36.0	176.0
37.0	154.0
38.0	136.0
39.0	87.0
40.0	182.0
41.0	209.0
42.0	169.0
43.0	160.0
44.0	212.0
45.0	276.0
46.0	283.0
47.0	286.0
48.0	248.0
49.0	338.0
50.0	414.0
51.0	566.0
52.0	503.0
53.0	463.0
54.0	807.0
55.0	965.0
56.0	1052.0
57.0	1045.0
58.0	1243.0
59.0	11033.0
60.0	4547.0
