#Mapping quality	mapping quality
1.0	1.0
2.0	8.0
3.0	30.0
4.0	336.0
5.0	357.0
6.0	367.0
7.0	162.0
8.0	322.0
9.0	269.0
10.0	157.0
11.0	187.0
12.0	156.0
13.0	122.0
14.0	105.0
15.0	160.0
16.0	97.0
17.0	109.0
18.0	69.0
19.0	66.0
20.0	133.0
21.0	113.0
22.0	139.0
23.0	144.0
24.0	198.0
25.0	192.0
26.0	168.0
27.0	193.0
28.0	144.0
29.0	119.0
30.0	152.0
31.0	107.0
32.0	128.0
33.0	123.0
34.0	160.0
35.0	148.0
36.0	191.0
37.0	196.0
38.0	264.0
39.0	195.0
40.0	227.0
41.0	161.0
42.0	164.0
43.0	101.0
44.0	118.0
45.0	144.0
46.0	178.0
47.0	209.0
48.0	267.0
49.0	437.0
50.0	395.0
51.0	437.0
52.0	589.0
53.0	486.0
54.0	605.0
55.0	384.0
56.0	675.0
57.0	1121.0
58.0	1753.0
59.0	9269.0
60.0	5894.0
