Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Collection Date	Gender	Age
ERX4657949	1484078	0	1484078	0.00%	5507	5498	99.84%	17.5295X	127.9072X	59.9884	39.04%	0.0016	-	-	-
ERX4591120	1575212	0	1575212	0.00%	13740	13721	99.86%	79.7161X	49.598X	59.9806	37.85%	0.0015	-	-	-
ERX4582258	2120790	0	2120790	0.00%	18990	18989	99.99%	105.1962X	101.3178X	59.9886	38.04%	0.0013	-	-	-
ERX4636712	331228	0	331228	0.00%	3000	3000	100%	9.0419X	62.757X	59.8465	39.08%	0.0016	-	-	-
ERX4656856	1641986	0	1641986	0.00%	10946	10935	99.9%	35.8925X	145.2495X	59.983	38.85%	0.0014	-	-	-
ERX4582564	365170	0	365170	0.00%	4803	4798	99.9%	26.2598X	31.1063X	59.6789	38.66%	0.0015	-	-	-
ERX4591418	519322	0	519322	0.00%	7438	7435	99.96%	42.2479X	33.8224X	59.9841	38.12%	0.0012	-	-	-
ERX4657046	3122916	0	3122916	0.00%	11484	11454	99.74%	35.552X	217.3092X	59.9783	39.04%	0.0016	-	-	-
ERX4659612	1850210	0	1850210	0.00%	9545	9545	100%	31.7904X	111.0996X	59.9753	38.99%	0.0015	-	-	-
ERX4672188	1845780	0	1845780	0.00%	5083	5080	99.94%	21.1679X	71.8047X	59.9953	38.96%	0.0013	-	-	-
ERX4582449	1732600	0	1732600	0.00%	17501	17497	99.98%	92.5713X	105.4765X	59.9663	38.18%	0.0012	-	-	-
ERX4656527	1869450	0	1869450	0.00%	14417	14400	99.88%	44.9429X	146.3727X	59.9669	38.96%	0.0015	-	-	-
ERX4636447	1208804	0	1208804	0.00%	6318	6318	100%	18.7249X	122.4129X	59.9937	39.19%	0.0015	-	-	-
ERX4672744	1441874	0	1441874	0.00%	9247	9230	99.82%	27.7434X	139.6572X	59.9056	39.42%	0.002	-	-	-
ERX4637039	1897146	0	1897146	0.00%	10435	10432	99.97%	28.4525X	257.9251X	59.9794	39.17%	0.0014	-	-	-
ERX4656172	1215094	0	1215094	0.00%	5019	5017	99.96%	20.7457X	34.1283X	59.9457	38.48%	0.0014	-	-	-
ERX4656323	799176	0	799176	0.00%	2740	2739	99.96%	10.3163X	42.2182X	59.9543	38.52%	0.002	-	-	-
ERX4663365	1569390	0	1569390	0.00%	4939	4938	99.98%	18.895X	78.9246X	59.9715	38.86%	0.0015	-	-	-
ERX4591231	2081168	0	2081168	0.00%	18188	18188	100%	103.982X	58.1204X	59.973	38.39%	0.0013	-	-	-
ERX4636360	1869412	0	1869412	0.00%	13675	13672	99.98%	80.1786X	52.4317X	59.9663	38%	0.0018	-	-	-
ERX4637053	930858	0	930858	0.00%	5333	5333	100%	15.5979X	108.9561X	59.9926	39.22%	0.0011	-	-	-
ERX4658368	223882	0	223882	0.00%	1095	1095	100%	4.3395X	18.3128X	59.0813	40.72%	0.0016	-	-	-
ERX4610636	2003484	0	2003484	0.00%	23231	23227	99.98%	126.5905X	84.5744X	59.9689	38.28%	0.0016	-	-	-
ERX4582672	2512054	0	2512054	0.00%	18834	18825	99.95%	105.0616X	82.2432X	59.9905	38.07%	0.0013	-	-	-
ERX4576949	752116	0	752116	0.00%	7929	7929	100%	46.657X	27.548X	59.9705	38.06%	0.0014	-	-	-
