#Duplication rate	Coverage
1.0	5352.0
2.0	2913.0
3.0	1752.0
4.0	1139.0
5.0	792.0
6.0	526.0
7.0	445.0
8.0	321.0
9.0	285.0
10.0	215.0
11.0	182.0
12.0	161.0
13.0	123.0
14.0	94.0
15.0	85.0
16.0	87.0
17.0	67.0
18.0	59.0
19.0	52.0
20.0	62.0
21.0	45.0
22.0	37.0
23.0	41.0
24.0	30.0
25.0	32.0
26.0	29.0
27.0	30.0
28.0	23.0
29.0	27.0
30.0	15.0
31.0	12.0
32.0	14.0
33.0	13.0
34.0	6.0
35.0	15.0
36.0	12.0
37.0	11.0
38.0	12.0
39.0	7.0
40.0	4.0
41.0	9.0
42.0	5.0
43.0	4.0
44.0	5.0
45.0	5.0
46.0	6.0
47.0	4.0
48.0	8.0
49.0	3.0
50.0	97.0
