#Mapping quality	mapping quality
2.0	33.0
6.0	2.0
7.0	2.0
8.0	5.0
9.0	4.0
10.0	9.0
11.0	8.0
12.0	10.0
13.0	6.0
14.0	10.0
15.0	8.0
16.0	9.0
17.0	9.0
18.0	9.0
19.0	8.0
20.0	10.0
21.0	10.0
22.0	10.0
23.0	14.0
24.0	13.0
25.0	5.0
26.0	3.0
27.0	5.0
28.0	8.0
29.0	7.0
30.0	7.0
31.0	11.0
32.0	14.0
33.0	16.0
34.0	18.0
35.0	29.0
36.0	25.0
37.0	41.0
38.0	46.0
39.0	92.0
40.0	82.0
41.0	51.0
42.0	68.0
43.0	81.0
44.0	65.0
45.0	61.0
46.0	36.0
47.0	11.0
48.0	24.0
49.0	19.0
50.0	32.0
51.0	44.0
52.0	40.0
53.0	59.0
54.0	75.0
55.0	102.0
56.0	228.0
57.0	206.0
58.0	691.0
59.0	4643.0
60.0	22769.0
