#Duplication rate	Coverage
1.0	3853.0
2.0	2639.0
3.0	1876.0
4.0	1375.0
5.0	985.0
6.0	828.0
7.0	693.0
8.0	584.0
9.0	598.0
10.0	552.0
11.0	434.0
12.0	413.0
13.0	394.0
14.0	340.0
15.0	360.0
16.0	294.0
17.0	288.0
18.0	286.0
19.0	271.0
20.0	272.0
21.0	218.0
22.0	211.0
23.0	219.0
24.0	207.0
25.0	225.0
26.0	218.0
27.0	202.0
28.0	196.0
29.0	186.0
30.0	165.0
31.0	165.0
32.0	149.0
33.0	136.0
34.0	135.0
35.0	138.0
36.0	145.0
37.0	135.0
38.0	137.0
39.0	108.0
40.0	143.0
41.0	112.0
42.0	117.0
43.0	125.0
44.0	100.0
45.0	95.0
46.0	105.0
47.0	107.0
48.0	98.0
49.0	97.0
50.0	3369.0
