Sample	Total Reads After Trimming	Hisat2 Human Mapped Reads	Hisat2 Human Unmapped Reads	Hisat2 % Human Mapped Reads	Total Reads After Removing Duplicates	BWA-MEM SARS-CoV-2 Mapped Reads	BWA % SARS-CoV-2 Mapped Reads	Mean of Coverage Depth	Standard Deviation of Coverage Depth	Mean Mapping Quality	GC Percentage	Error Rate	Platform	Collection Date	Gender	Age
NCDC2245	651950	528861	123089	81.12%	183433	12257	6.68%	53.6097X	22.1442X	59.8455	37.5%	0.0009	Illumina MiSeq	28-03-2020	-	-
NCDC2105	4250292	3393433	856859	79.84%	1067619	26812	2.51%	120.5669X	39.8379X	59.8025	38.09%	0.0012	Illumina MiSeq	25-03-2020	-	-
NCDC1744	3142160	2430146	712014	77.34%	885785	19373	2.19%	134.1595X	46.0664X	59.9304	38.22%	0.0011	Illumina MiSeq	18-03-2020	-	-
NCDC2251	32042	25867	6175	80.73%	8121	756	9.31%	3.1121X	2.5173X	56.8375	36.72%	0.0009	Illumina MiSeq	28-03-2020	-	-
NCDC2250	37240	29881	7359	80.24%	10563	1224	11.59%	5.0888X	3.7895X	58.9463	36.95%	0.0008	Illumina MiSeq	28-03-2020	-	-
NCDC1614	4649362	3822240	827122	82.21%	1024766	4508	0.44%	32.2182X	12.4618X	59.7631	38.33%	0.0009	Illumina MiSeq	17-03-2020	-	-
NCDC1444	2111800	1752794	359006	83.00%	463677	325	0.07%	1.8033X	2.069X	42.2901	37.5%	0.0007	Illumina MiSeq	15-03-2020	-	-
NCDC2240	336664	268085	68579	79.63%	94146	18574	19.73%	79.9495X	30.6005X	59.8406	37.43%	0.0008	Illumina MiSeq	28-03-2020	-	-
NCDC1604	3699228	3030037	669191	81.91%	852198	76278	8.95%	554.0333X	148.6152X	59.889	38.17%	0.0009	Illumina MiSeq	17-03-2020	-	-
NCDC1257	4010486	1159832	2850654	28.92%	2919746	1228	0.04%	8.4147X	4.6051X	59.9545	37.97%	0.001	Illumina MiSeq	12-03-2020	-	-
NCDC2108	5238102	4078386	1159716	77.86%	1551895	8	0%	0.0304X	0.2313X	1.7068	36.67%	0	Illumina MiSeq	25-03-2020	-	-
NCDC1441	3282700	2524396	758304	76.90%	922263	168030	18.22%	1,148.0746X	385.0079X	59.9276	37.98%	0.001	Illumina MiSeq	15-03-2020	-	-
