#Duplication rate	Coverage
1.0	5818.0
2.0	2776.0
3.0	1381.0
4.0	911.0
5.0	620.0
6.0	484.0
7.0	380.0
8.0	299.0
9.0	234.0
10.0	213.0
11.0	179.0
12.0	164.0
13.0	154.0
14.0	129.0
15.0	112.0
16.0	97.0
17.0	97.0
18.0	79.0
19.0	79.0
20.0	65.0
21.0	83.0
22.0	77.0
23.0	58.0
24.0	68.0
25.0	59.0
26.0	61.0
27.0	51.0
28.0	53.0
29.0	45.0
30.0	41.0
31.0	44.0
32.0	45.0
33.0	27.0
34.0	41.0
35.0	23.0
36.0	30.0
37.0	32.0
38.0	20.0
39.0	33.0
40.0	25.0
41.0	28.0
42.0	21.0
43.0	26.0
44.0	29.0
45.0	24.0
46.0	28.0
47.0	18.0
48.0	31.0
49.0	17.0
50.0	608.0
