#Mapping quality	mapping quality
1.0	10.0
2.0	89.0
3.0	51.0
4.0	4.0
6.0	40.0
7.0	172.0
8.0	62.0
9.0	40.0
10.0	36.0
11.0	39.0
12.0	29.0
13.0	49.0
14.0	73.0
15.0	68.0
16.0	125.0
17.0	86.0
18.0	90.0
19.0	70.0
20.0	53.0
21.0	59.0
22.0	67.0
23.0	56.0
24.0	51.0
25.0	40.0
26.0	21.0
27.0	43.0
28.0	53.0
29.0	40.0
30.0	67.0
31.0	136.0
32.0	57.0
33.0	46.0
34.0	45.0
35.0	23.0
36.0	52.0
37.0	41.0
38.0	50.0
39.0	32.0
40.0	23.0
41.0	43.0
42.0	54.0
43.0	64.0
44.0	46.0
45.0	32.0
46.0	47.0
47.0	96.0
48.0	230.0
49.0	114.0
50.0	128.0
51.0	141.0
52.0	123.0
53.0	302.0
54.0	349.0
55.0	431.0
56.0	397.0
57.0	595.0
58.0	966.0
59.0	9907.0
60.0	13650.0
