#Mapping quality	mapping quality
3.0	1.0
4.0	2.0
5.0	108.0
6.0	34.0
7.0	12.0
8.0	7.0
9.0	15.0
10.0	20.0
11.0	16.0
12.0	27.0
13.0	37.0
14.0	53.0
15.0	66.0
16.0	51.0
17.0	62.0
18.0	93.0
19.0	137.0
20.0	63.0
21.0	46.0
22.0	51.0
23.0	28.0
24.0	10.0
25.0	9.0
26.0	13.0
27.0	19.0
28.0	39.0
29.0	49.0
30.0	86.0
31.0	46.0
32.0	56.0
33.0	63.0
34.0	121.0
35.0	233.0
36.0	177.0
37.0	93.0
38.0	132.0
39.0	112.0
40.0	183.0
41.0	173.0
42.0	256.0
43.0	148.0
44.0	156.0
45.0	135.0
46.0	150.0
47.0	166.0
48.0	163.0
49.0	229.0
50.0	101.0
51.0	208.0
52.0	240.0
53.0	343.0
54.0	447.0
55.0	577.0
56.0	566.0
57.0	494.0
58.0	884.0
59.0	10394.0
60.0	11703.0
