#Mapping quality	mapping quality
6.0	4.0
7.0	31.0
8.0	39.0
9.0	76.0
10.0	23.0
11.0	43.0
12.0	37.0
13.0	39.0
14.0	42.0
15.0	44.0
16.0	50.0
17.0	56.0
18.0	41.0
19.0	54.0
20.0	144.0
21.0	101.0
22.0	96.0
23.0	105.0
24.0	106.0
25.0	74.0
26.0	99.0
27.0	124.0
28.0	120.0
29.0	193.0
30.0	142.0
31.0	118.0
32.0	152.0
33.0	196.0
34.0	143.0
35.0	150.0
36.0	139.0
37.0	126.0
38.0	176.0
39.0	153.0
40.0	110.0
41.0	93.0
42.0	71.0
43.0	94.0
44.0	173.0
45.0	166.0
46.0	113.0
47.0	267.0
48.0	329.0
49.0	341.0
50.0	151.0
51.0	129.0
52.0	270.0
53.0	161.0
54.0	125.0
55.0	253.0
56.0	401.0
57.0	686.0
58.0	846.0
59.0	11455.0
60.0	10433.0
