#Mapping quality	mapping quality
0.0	1.0
6.0	1.0
7.0	20.0
10.0	15.0
11.0	1.0
12.0	31.0
13.0	11.0
14.0	14.0
15.0	32.0
16.0	22.0
17.0	4.0
18.0	19.0
19.0	2.0
20.0	2.0
21.0	21.0
22.0	48.0
23.0	73.0
24.0	3.0
25.0	18.0
26.0	24.0
27.0	22.0
28.0	6.0
30.0	1.0
31.0	3.0
32.0	4.0
33.0	29.0
34.0	27.0
35.0	3.0
36.0	54.0
37.0	5.0
38.0	2.0
39.0	22.0
40.0	24.0
41.0	7.0
42.0	5.0
43.0	29.0
44.0	9.0
45.0	2.0
46.0	1.0
47.0	28.0
48.0	14.0
49.0	13.0
50.0	43.0
51.0	32.0
52.0	5.0
53.0	7.0
54.0	7.0
55.0	9.0
56.0	2.0
57.0	54.0
58.0	68.0
59.0	158.0
60.0	16402.0
