#Duplication rate	Coverage
1.0	2960.0
2.0	1866.0
3.0	1146.0
4.0	937.0
5.0	728.0
6.0	624.0
7.0	498.0
8.0	426.0
9.0	364.0
10.0	343.0
11.0	272.0
12.0	286.0
13.0	244.0
14.0	240.0
15.0	189.0
16.0	174.0
17.0	163.0
18.0	161.0
19.0	146.0
20.0	139.0
21.0	132.0
22.0	136.0
23.0	131.0
24.0	115.0
25.0	107.0
26.0	112.0
27.0	94.0
28.0	69.0
29.0	79.0
30.0	85.0
31.0	76.0
32.0	76.0
33.0	80.0
34.0	69.0
35.0	50.0
36.0	45.0
37.0	51.0
38.0	56.0
39.0	53.0
40.0	32.0
41.0	32.0
42.0	32.0
43.0	45.0
44.0	33.0
45.0	46.0
46.0	30.0
47.0	23.0
48.0	33.0
49.0	38.0
50.0	746.0
