#Duplication rate	Coverage
1.0	3673.0
2.0	2420.0
3.0	1906.0
4.0	1537.0
5.0	1203.0
6.0	1118.0
7.0	993.0
8.0	841.0
9.0	785.0
10.0	675.0
11.0	613.0
12.0	513.0
13.0	493.0
14.0	473.0
15.0	415.0
16.0	393.0
17.0	329.0
18.0	308.0
19.0	331.0
20.0	275.0
21.0	227.0
22.0	215.0
23.0	209.0
24.0	200.0
25.0	193.0
26.0	171.0
27.0	143.0
28.0	159.0
29.0	124.0
30.0	126.0
31.0	116.0
32.0	128.0
33.0	107.0
34.0	101.0
35.0	93.0
36.0	88.0
37.0	73.0
38.0	84.0
39.0	68.0
40.0	58.0
41.0	51.0
42.0	49.0
43.0	62.0
44.0	43.0
45.0	47.0
46.0	40.0
47.0	31.0
48.0	35.0
49.0	25.0
50.0	503.0
