#Mapping quality	mapping quality
8.0	135.0
9.0	13.0
10.0	4.0
11.0	68.0
12.0	80.0
13.0	6.0
14.0	22.0
15.0	68.0
16.0	33.0
17.0	7.0
18.0	21.0
19.0	75.0
20.0	66.0
21.0	40.0
22.0	27.0
23.0	59.0
24.0	53.0
25.0	81.0
26.0	73.0
27.0	30.0
28.0	60.0
29.0	32.0
30.0	190.0
31.0	68.0
32.0	31.0
33.0	36.0
34.0	27.0
35.0	23.0
36.0	24.0
37.0	14.0
38.0	16.0
39.0	16.0
40.0	45.0
41.0	54.0
42.0	66.0
43.0	53.0
44.0	54.0
45.0	175.0
46.0	124.0
47.0	125.0
48.0	62.0
49.0	35.0
50.0	22.0
51.0	47.0
52.0	69.0
53.0	181.0
54.0	316.0
55.0	823.0
56.0	424.0
57.0	930.0
58.0	1280.0
59.0	19674.0
60.0	3816.0
